"Date","Cumulative_Cases"
2020-08-05,9023
2020-08-06,9038
2020-08-07,9063
2020-08-08,9070
2020-08-09,9083
2020-08-10,9094
2020-08-11,9103
2020-08-12,9114
2020-08-13,9129
2020-08-14,9149
2020-08-15,9175
2020-08-16,9200
2020-08-17,9212
2020-08-18,9219
2020-08-19,9235
2020-08-20,9240
2020-08-21,9249
2020-08-22,9257
2020-08-23,9267
2020-08-24,9274
2020-08-25,9285
2020-08-26,9291
2020-08-27,9296
2020-08-28,9306
2020-08-29,9317
2020-08-30,9334
2020-08-31,9340
2020-09-01,9354
2020-09-02,9360
2020-09-03,9374
2020-09-04,9385
2020-09-05,9391
2020-09-06,9397
2020-09-07,9459
2020-09-08,9559
2020-09-09,9583
2020-09-10,9628
2020-09-11,9810
2020-09-12,9868
2020-09-13,9915
2020-09-14,9946
2020-09-15,9969
2020-09-16,10031
2020-09-17,10052
2020-09-18,10147
2020-09-19,10167
2020-09-20,10219
2020-09-21,10276
2020-09-22,10358
2020-09-23,10505
2020-09-24,10576
2020-09-25,10687
2020-09-26,10769
2020-09-27,10919
2020-09-28,11034
2020-09-29,11135
2020-09-30,11224
2020-10-01,11484
2020-10-02,11771
2020-10-03,12088
2020-10-04,12381
2020-10-05,12813
2020-10-06,13504
2020-10-07,13993
2020-10-08,14368
2020-10-09,14722
2020-10-10,15096
2020-10-11,15657
2020-10-12,16220
2020-10-13,16880
2020-10-14,17540
2020-10-15,18129
2020-10-16,18758
2020-10-17,19627
2020-10-18,20498
2020-10-19,21363
2020-10-20,22225
2020-10-21,22957
2020-10-22,23804
2020-10-23,24514
2020-10-24,25742
2020-10-25,26565
2020-10-26,27805
2020-10-27,28640
2020-10-28,29441
2020-10-29,30090
2020-10-30,30889
2020-10-31,31548
2020-11-01,32505
2020-11-02,33339
2020-11-03,34393
2020-11-04,35425
2020-11-05,36434
2020-11-06,38189
2020-11-07,39357
2020-11-08,40209
2020-11-09,41181
2020-11-10,42050
2020-11-11,42872
2020-11-12,43791
2020-11-13,45095
2020-11-14,46209
2020-11-15,47417
2020-11-16,48520
2020-11-17,49730
2020-11-18,50390
2020-11-19,51680
2020-11-20,52638
2020-11-21,53679
2020-11-22,54775
2020-11-23,56659
2020-11-24,58847
2020-11-25,59817
2020-11-26,60752
2020-11-27,61861
2020-11-28,63176
2020-11-29,64485
2020-11-30,65697
2020-12-01,67169
2020-12-02,68020
2020-12-03,69095
2020-12-04,70236
2020-12-05,71359
2020-12-06,72694
2020-12-07,74294
2020-12-08,75306
2020-12-09,76265
2020-12-10,78499
2020-12-11,80309
2020-12-12,82246
2020-12-13,83475
2020-12-14,84846
2020-12-15,86618
2020-12-16,87913
2020-12-17,89133
2020-12-18,90816
2020-12-19,91969
2020-12-20,93309
2020-12-21,95327
2020-12-22,97389
2020-12-23,98737
2020-12-24,100318
2020-12-25,101565
2020-12-26,103900
2020-12-27,105096
2020-12-28,106690
2020-12-29,108615
2020-12-30,110485
2020-12-31,113010
2021-01-01,115078
2021-01-02,117373
2021-01-03,119077
2021-01-04,120818
2021-01-05,122845
2021-01-06,125438
2021-01-07,128465
2021-01-08,131108
2021-01-09,133559
2021-01-10,135992
2021-01-11,138224
2021-01-12,141533
2021-01-13,144518
2021-01-14,147855
2021-01-15,151066
2021-01-16,155095
2021-01-17,158434
2021-01-18,161740
2021-01-19,165371
2021-01-20,169379
2021-01-21,172549
2021-01-22,176180
2021-01-23,180455
2021-01-24,183801
2021-01-25,186849
2021-01-26,190434
2021-01-27,194114
2021-01-28,198208
